state,town,estimated_population,year
CONNECTICUT,ANDOVER,3149,2020
CONNECTICUT,ANSONIA,18902,2020
CONNECTICUT,ASHFORD,4185,2020
CONNECTICUT,AVON,18918,2020
CONNECTICUT,BARKHAMSTED,3650,2020
CONNECTICUT,BEACON FALLS,5993,2020
CONNECTICUT,BERLIN,20154,2020
CONNECTICUT,BETHANY,5294,2020
CONNECTICUT,BETHEL,20331,2020
CONNECTICUT,BETHLEHEM,3380,2020
CONNECTICUT,BLOOMFIELD,21460,2020
CONNECTICUT,BOLTON,4868,2020
CONNECTICUT,BOZRAH,2422,2020
CONNECTICUT,BRANFORD,28220,2020
CONNECTICUT,BRIDGEPORT,148698,2020
CONNECTICUT,BRIDGEWATER,1659,2020
CONNECTICUT,BRISTOL,60786,2020
CONNECTICUT,BROOKFIELD,17517,2020
CONNECTICUT,BROOKLYN,8451,2020
CONNECTICUT,BURLINGTON,9520,2020
CONNECTICUT,CANAAN,1081,2020
CONNECTICUT,CANTERBURY,5041,2020
CONNECTICUT,CANTON,10125,2020
CONNECTICUT,CHAPLIN,2141,2020
CONNECTICUT,CHESHIRE,28728,2020
CONNECTICUT,CHESTER,3744,2020
CONNECTICUT,CLINTON,13174,2020
CONNECTICUT,COLCHESTER,15548,2020
CONNECTICUT,COLEBROOK,1360,2020
CONNECTICUT,COLUMBIA,5263,2020
CONNECTICUT,CORNWALL,1566,2020
CONNECTICUT,COVENTRY,12238,2020
CONNECTICUT,CROMWELL,14203,2020
CONNECTICUT,DANBURY,86570,2020
CONNECTICUT,DARIEN,21527,2020
CONNECTICUT,DEEP RIVER,4412,2020
CONNECTICUT,DERBY,12326,2020
CONNECTICUT,DURHAM,7151,2020
CONNECTICUT,EASTFORD,1650,2020
CONNECTICUT,EAST GRANBY,5218,2020
CONNECTICUT,EAST HADDAM,8872,2020
CONNECTICUT,EAST HAMPTON,12709,2020
CONNECTICUT,EAST HARTFORD,"51,016",2020
CONNECTICUT,EAST HAVEN,"27,874",2020
CONNECTICUT,EAST LYME,"18,645",2020
CONNECTICUT,EASTON,"7,603",2020
CONNECTICUT,EAST WINDSOR,"11,167",2020
CONNECTICUT,ELLINGTON,"16,428",2020
CONNECTICUT,ENFIELD,"42,128",2020
CONNECTICUT,ESSEX,"6,713",2020
CONNECTICUT,FAIRFIELD,"61,472",2020
CONNECTICUT,FARMINGTON,"26,673",2020
CONNECTICUT,FRANKLIN,"1,863",2020
CONNECTICUT,GLASTONBURY,"35,108",2020
CONNECTICUT,GOSHEN,"3,148",2020
CONNECTICUT,GRANBY,"10,891",2020
CONNECTICUT,GREENWICH,"63,502",2020
CONNECTICUT,GRISWOLD,"11,411",2020
CONNECTICUT,GROTON,"38,445",2020
CONNECTICUT,GUILFORD,"22,045",2020
CONNECTICUT,HADDAM,"8,449",2020
CONNECTICUT,HAMDEN,"61,065",2020
CONNECTICUT,HAMPTON,"1,729",2020
CONNECTICUT,HARTFORD,"121,026",2020
CONNECTICUT,HARTLAND,"1,900",2020
CONNECTICUT,HARWINTON,"5,470",2020
CONNECTICUT,HEBRON,"9,102",2020
CONNECTICUT,KENT,"3,014",2020
CONNECTICUT,KILLINGLY,"17,738",2020
CONNECTICUT,KILLINGWORTH,"6,173",2020
CONNECTICUT,LEBANON,"7,142",2020
CONNECTICUT,LEDYARD,"15,420",2020
CONNECTICUT,LISBON,"4,191",2020
CONNECTICUT,LITCHFIELD,"8,165",2020
CONNECTICUT,LYME,"2,352",2020
CONNECTICUT,MADISON,"17,658",2020
CONNECTICUT,MANCHESTER,"59,693",2020
CONNECTICUT,MANSFIELD,"25,883",2020
CONNECTICUT,MARLBOROUGH,"6,127",2020
CONNECTICUT,MERIDEN,"60,794",2020
CONNECTICUT,MIDDLEBURY,"7,577",2020
CONNECTICUT,MIDDLEFIELD,"4,217",2020
CONNECTICUT,MIDDLETOWN,"47,676",2020
CONNECTICUT,MILFORD,"51,954",2020
CONNECTICUT,MONROE,18808,2020
CONNECTICUT,MONTVILLE,18377,2020
CONNECTICUT,MORRIS,2250,2020
CONNECTICUT,NAUGATUCK,31517,2020
CONNECTICUT,NEW BRITAIN,74125,2020
CONNECTICUT,NEW CANAAN,20605,2020
CONNECTICUT,NEW FAIRFIELD,13570,2020
CONNECTICUT,NEW HARTFORD,6652,2020
CONNECTICUT,NEW HAVEN,134052,2020
CONNECTICUT,NEWINGTON,30464,2020
CONNECTICUT,NEW LONDON,27376,2020
CONNECTICUT,NEW MILFORD,28106,2020
CONNECTICUT,NEWTOWN,27154,2020
CONNECTICUT,NORFOLK,1585,2020
CONNECTICUT,NORTH BRANFORD,13535,2020
CONNECTICUT,NORTH CANAAN,3198,2020
CONNECTICUT,NORTH HAVEN,24237,2020
CONNECTICUT,NORTH STONINGTON,5152,2020
CONNECTICUT,NORWALK,91194,2020
CONNECTICUT,NORWICH,40152,2020
CONNECTICUT,OLD LYME,7615,2020
CONNECTICUT,OLD SAYBROOK,10442,2020
CONNECTICUT,ORANGE,14255,2020
CONNECTICUT,OXFORD,12702,2020
CONNECTICUT,PLAINFIELD,14984,2020
CONNECTICUT,PLAINVILLE,17516,2020
CONNECTICUT,PLYMOUTH,11668,2020
CONNECTICUT,POMFRET,4270,2020
CONNECTICUT,PORTLAND,9371,2020
CONNECTICUT,PRESTON,4784,2020
CONNECTICUT,PROSPECT,9403,2020
CONNECTICUT,PUTNAM,9219,2020
CONNECTICUT,REDDING,8742,2020
CONNECTICUT,RIDGEFIELD,25009,2020
CONNECTICUT,ROCKY HILL,20780,2020
CONNECTICUT,ROXBURY,2260,2020
CONNECTICUT,SALEM,4214,2020
CONNECTICUT,SALISBURY,4191,2020
CONNECTICUT,SCOTLAND,1576,2020
CONNECTICUT,SEYMOUR,16707,2020
CONNECTICUT,SHARON,2675,2020
CONNECTICUT,SHELTON,40756,2020
CONNECTICUT,SHERMAN,3521,2020
CONNECTICUT,SIMSBURY,24516,2020
CONNECTICUT,SOMERS,10254,2020
CONNECTICUT,SOUTHBURY,19786,2020
CONNECTICUT,SOUTHINGTON,43447,2020
CONNECTICUT,SOUTH WINDSOR,26903,2020
CONNECTICUT,SPRAGUE,2973,2020
CONNECTICUT,STAFFORD,11460,2020
CONNECTICUT,STAMFORD,135511,2020
CONNECTICUT,STERLING,3581,2020
CONNECTICUT,STONINGTON,18288,2020
CONNECTICUT,STRATFORD,52265,2020
CONNECTICUT,SUFFIELD,15725,2020
CONNECTICUT,THOMASTON,7426,2020
CONNECTICUT,THOMPSON,9185,2020
CONNECTICUT,TOLLAND,14552,2020
CONNECTICUT,TORRINGTON,35422,2020
CONNECTICUT,TRUMBULL,36742,2020
CONNECTICUT,UNION,784,2020
CONNECTICUT,VERNON,30218,2020
CONNECTICUT,VOLUNTOWN,2564,2020
CONNECTICUT,WALLINGFORD,44317,2020
CONNECTICUT,WARREN,1348,2020
CONNECTICUT,WASHINGTON,3644,2020
CONNECTICUT,WATERBURY,114426,2020
CONNECTICUT,WATERFORD,19516,2020
CONNECTICUT,WATERTOWN,22083,2020
CONNECTICUT,WESTBROOK,6757,2020
CONNECTICUT,WEST HARTFORD,64019,2020
CONNECTICUT,WEST HAVEN,55536,2020
CONNECTICUT,WESTON,10360,2020
CONNECTICUT,WESTPORT,27128,2020
CONNECTICUT,WETHERSFIELD,27272,2020
CONNECTICUT,WILLINGTON,5568,2020
CONNECTICUT,WILTON,18465,2020
CONNECTICUT,WINCHESTER,10226,2020
CONNECTICUT,WINDHAM,24426,2020
CONNECTICUT,WINDSOR,29413,2020
CONNECTICUT,WINDSOR LOCKS,12592,2020
CONNECTICUT,WOLCOTT,16117,2020
CONNECTICUT,WOODBRIDGE,9074,2020
CONNECTICUT,WOODBURY,9711,2020
CONNECTICUT,WOODSTOCK,8228,2020